ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10002,1985,0,0,0,0,0,0,0,0,0,0
10003,1985,11,11,11,11,11,11,11,11,11,11
10004,1985,0,0,0,0,0,0,0,0,0,0
10005,1985,12,12,12,12,12,12,12,12,12,12
10006,1985,2,2,2,2,2,2,2,2,2,2
10007,1985,13,13,13,13,13,13,13,13,13,13
10008,1985,14,0,0,22,15,15,15,32,0,0
10009,1985,0,0,0,0,0,0,0,0,0,0
10010,1985,28,28,28,28,28,28,28,28,28,28
10011,1985,27,27,27,27,27,27,27,27,27,27
10012,1985,0,0,0,0,0,0,0,0,0,0
10013,1985,0,0,19,0,0,0,0,0,0,0
10014,1985,0,0,0,0,6,0,0,0,0,0
10015,1985,0,0,16,0,0,0,0,0,0,0
10016,1985,0,0,0,0,0,0,0,0,0,0
10017,1985,0,0,0,0,0,0,0,0,0,0
10018,1985,15,15,15,15,15,15,15,15,15,15
10019,1985,0,0,0,0,0,0,0,0,0,0
10020,1985,0,0,0,0,0,0,0,0,0,0
10021,1985,13,13,13,13,13,13,13,13,13,13
10022,1985,0,0,0,0,0,0,0,0,0,0
10023,1985,0,0,0,0,0,0,0,0,0,0
10024,1985,0,0,0,0,0,0,0,0,0,0
10025,1985,0,0,0,0,0,0,0,0,0,0
10026,1985,16,27,29,25,5,12,5,7,14,21
10027,1985,26,26,26,26,26,26,26,26,26,26
10028,1985,0,0,0,22,0,0,0,0,0,0
10029,1985,0,0,0,0,0,0,0,0,0,0
10030,1985,0,0,0,0,0,0,0,0,0,0
10031,1985,0,0,0,0,0,0,0,0,0,0
10032,1985,13,13,0,0,0,0,0,0,23,0
10033,1985,0,9,0,0,0,0,20,13,0,6
10034,1985,0,0,0,0,0,0,0,0,0,0
10035,1985,15,15,15,15,15,15,15,15,15,15
10036,1985,0,0,0,0,0,0,0,0,0,0
10037,1985,0,0,0,0,0,0,0,0,0,0
10038,1985,0,0,0,0,0,0,0,0,0,0
10039,1985,17,17,17,17,17,17,17,17,17,17
10040,1985,0,0,0,0,0,0,0,0,0,0
10041,1985,17,17,17,17,17,17,17,17,17,17
10042,1985,0,0,0,0,0,0,0,0,0,0
10043,1985,14,14,14,14,14,14,14,14,14,14
10044,1985,17,18,24,18,10,10,37,22,19,7
10045,1985,0,0,0,0,0,0,0,0,0,0
10046,1985,6,0,0,0,0,0,0,0,0,0
10047,1985,1,1,1,1,1,1,1,1,1,1
10048,1985,0,0,0,0,0,0,0,0,0,0
10049,1985,0,0,0,0,0,0,0,0,0,0
10050,1985,0,0,0,0,0,0,0,0,14,0
10051,1985,12,12,12,12,12,12,12,12,12,12
10052,1985,0,0,12,26,0,0,0,0,0,0
10053,1985,15,15,15,15,15,15,15,15,15,15
10054,1985,5,5,5,5,5,5,5,5,5,5
10055,1985,0,0,0,0,0,0,0,0,0,0
10056,1985,0,0,0,0,21,0,0,0,21,0
10057,1985,10,19,33,6,2,31,16,27,30,21
10058,1985,12,12,12,12,12,12,12,12,12,12
10059,1985,31,31,31,31,31,31,31,31,31,31
10060,1985,8,8,8,8,8,8,8,8,8,8
10061,1985,0,0,0,0,0,0,0,0,0,0
10062,1985,27,27,11,19,3,7,14,16,0,5
10063,1985,6,6,6,6,6,6,6,6,6,6
10064,1985,0,0,0,0,0,0,0,0,0,48
10065,1985,0,16,20,14,0,0,0,7,0,0
10066,1985,30,30,30,30,30,30,30,30,30,30
10067,1985,0,0,0,0,0,0,0,0,0,0
10068,1985,32,12,20,19,18,0,17,8,39,4
10069,1985,28,28,28,28,28,28,28,28,28,28
10070,1985,25,25,25,25,25,25,25,25,25,25
10071,1985,0,0,12,0,0,0,0,0,0,0
10072,1985,15,12,14,0,14,14,0,15,12,21
10073,1985,0,0,0,0,0,0,0,0,0,0
10074,1985,23,23,23,23,23,23,23,23,23,23
10075,1985,24,11,21,29,0,26,24,19,31,18
10076,1985,11,13,13,11,20,14,23,23,16,0
10077,1985,22,22,22,22,22,22,22,22,22,22
10078,1985,0,0,0,0,0,0,0,0,0,0
10079,1985,21,21,21,21,21,21,21,21,21,21
10080,1985,2,2,2,2,2,2,2,2,2,2
10081,1985,0,0,0,0,0,9,3,0,0,0
10082,1985,0,0,0,0,0,0,0,0,0,0
10083,1985,0,0,0,0,4,0,30,0,0,0
10084,1985,16,16,16,16,16,16,16,16,16,16
10085,1985,38,31,8,0,0,17,0,15,0,37
10086,1985,0,0,0,0,0,0,0,0,0,0
10087,1985,0,0,0,0,0,0,0,0,0,0
10088,1985,27,8,16,10,30,9,29,21,28,16
10089,1985,8,20,0,22,0,0,0,0,7,13
10090,1985,11,11,11,11,11,11,11,11,11,11
10091,1985,0,0,0,0,0,0,0,0,0,0
10092,1985,20,20,20,20,20,20,20,20,20,20
10093,1985,16,16,16,16,16,16,16,16,16,16
10094,1985,22,3,18,9,14,9,15,6,7,13
10095,1985,0,0,0,0,0,0,2,0,0,0
10096,1985,0,0,0,5,0,0,0,0,0,0
10097,1985,23,23,23,23,23,23,23,23,23,23
10098,1985,18,18,18,18,18,18,18,18,18,18
10099,1985,0,0,0,0,0,0,0,0,0,0
10100,1985,0,0,0,0,0,0,0,0,0,0
10101,1985,23,23,23,23,23,23,23,23,23,23
10102,1985,4,4,4,4,4,4,4,4,4,4
10103,1985,0,0,0,15,0,0,0,0,0,0
10104,1985,22,22,22,22,22,22,22,22,22,22
10105,1985,0,0,0,15,0,0,0,0,0,0
10106,1985,19,19,19,19,19,19,19,19,19,19
10107,1985,0,0,0,0,0,0,0,0,0,0
10108,1985,10,0,0,0,3,0,0,0,0,0
10109,1985,31,31,31,31,31,31,31,31,31,31
10110,1985,6,11,13,24,18,8,20,13,29,17
10111,1985,0,0,0,0,0,0,0,0,0,0
10112,1985,0,0,13,0,5,0,0,12,14,0
10113,1985,18,0,0,8,17,0,0,23,0,10
10114,1985,0,0,0,0,0,0,0,0,0,0
10115,1985,27,17,24,0,21,19,21,22,12,28
10116,1985,18,0,0,0,0,0,7,0,0,0
10117,1985,25,25,25,25,25,25,25,25,25,25
10118,1985,26,25,0,10,0,14,24,0,0,26
10119,1985,28,28,28,28,28,28,28,28,28,28
10120,1985,0,0,0,0,0,0,0,0,0,0
10121,1985,0,0,0,0,0,0,0,0,0,0
10122,1985,0,0,0,0,0,0,0,0,0,0
10123,1985,48,14,0,13,19,0,5,21,18,13
10124,1985,21,21,21,21,21,21,21,21,21,21
10125,1985,9,10,17,10,13,4,13,11,17,21
10126,1985,5,0,0,8,0,0,9,18,0,0
10127,1985,0,0,0,0,0,9,0,0,0,0
10128,1985,4,8,4,4,4,6,4,4,4,4
10129,1985,4,0,13,0,0,15,20,0,9,28
10130,1985,22,9,9,16,0,25,0,16,23,11
10131,1985,0,36,0,9,0,0,9,0,0,11
10132,1985,15,15,15,15,15,15,15,15,15,15
10133,1985,0,0,0,0,0,0,0,0,0,0
10134,1985,0,0,0,0,0,9,0,0,0,0
10135,1985,0,0,0,12,0,0,0,0,0,0
10136,1985,0,0,0,0,15,0,0,0,0,0
10137,1985,0,0,0,0,0,0,0,0,0,0
10138,1985,0,0,12,0,0,10,5,13,23,12
10139,1985,0,0,0,0,0,0,0,0,0,0
10140,1985,6,0,0,0,0,0,0,8,0,0
10141,1985,0,17,0,7,15,0,0,19,7,0
10142,1985,4,4,4,4,4,4,4,4,4,4
10143,1985,0,0,0,0,0,0,0,0,0,0
10144,1985,0,0,0,0,0,19,0,0,0,0
10145,1985,14,38,19,33,23,17,20,17,37,22
10146,1985,0,0,0,0,0,0,0,0,0,0
10147,1985,19,19,19,19,19,19,19,19,19,19
10148,1985,12,11,0,10,0,11,19,11,7,14
10149,1985,22,30,21,26,21,21,7,19,17,37
10150,1985,0,0,0,0,0,0,7,0,0,0
10151,1985,0,0,0,0,0,0,0,0,11,0
10152,1985,14,14,14,14,14,14,14,14,14,14
10153,1985,29,29,29,29,29,29,29,29,29,29
10154,1985,15,22,28,26,29,16,12,9,13,32
10155,1985,15,7,17,4,9,0,8,19,15,9
10156,1985,0,0,0,0,0,0,0,0,0,0
10157,1985,0,15,0,0,0,18,0,10,13,0
10158,1985,0,28,0,9,0,26,21,21,14,14
10159,1985,0,16,31,19,24,0,26,25,18,31
10160,1985,0,0,0,0,0,0,0,0,0,0
10161,1985,0,19,18,27,13,16,30,5,30,13
10162,1985,0,0,0,0,0,0,0,5,0,0
10163,1985,0,0,0,0,18,0,0,0,0,0
10164,1985,0,17,0,0,0,0,0,0,0,0
10165,1985,0,0,0,0,0,0,0,0,0,0
10166,1985,16,16,16,16,16,16,16,16,16,16
10167,1985,14,26,22,12,21,20,14,25,20,10
10168,1985,28,23,0,9,5,21,19,19,6,19
10169,1985,21,21,21,21,21,21,21,21,21,21
10170,1985,0,0,0,0,0,0,0,0,0,0
10171,1985,2,0,24,18,32,21,20,7,29,6
10172,1985,28,28,28,28,28,28,28,28,28,28
10173,1985,18,18,18,18,18,18,18,18,18,18
10174,1985,0,0,0,0,0,0,0,0,0,0
10175,1985,0,8,0,0,0,0,0,0,0,14
10176,1985,0,0,0,0,0,0,0,0,0,0
10177,1985,0,17,18,0,0,0,0,14,18,0
10178,1985,0,0,0,0,0,0,0,0,0,0
10179,1985,0,2,0,0,0,0,0,0,0,0
10180,1985,29,15,7,10,21,6,10,20,0,17
10181,1985,18,19,10,16,0,11,12,39,26,28
10182,1985,18,25,16,21,8,26,20,27,20,45
10183,1985,7,7,7,7,7,7,7,7,7,7
10184,1985,22,28,20,37,18,12,23,28,14,27
10185,1985,0,8,0,8,12,0,0,0,11,0
10186,1985,0,0,0,0,0,0,0,0,0,0
10187,1985,0,0,0,0,0,0,0,14,17,0
10188,1985,0,0,0,0,0,0,0,35,0,0
10189,1985,0,0,0,0,0,0,0,0,0,15
10190,1985,0,0,0,9,0,0,0,0,0,0
10191,1985,0,16,0,0,0,0,0,0,0,9
10192,1985,0,0,0,0,0,0,0,0,0,0
