ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,1990,15,15,15,15,15,15,15,15,15,15
10002,1990,19,19,19,19,19,19,19,19,19,19
10003,1990,0,0,0,0,0,0,0,0,0,0
10004,1990,11,11,11,11,25,11,11,11,11,11
10005,1990,24,24,24,24,24,24,24,24,24,24
10006,1990,0,0,0,0,0,0,0,0,0,0
10007,1990,0,0,0,0,0,0,0,0,0,0
10008,1990,7,7,7,7,7,7,7,7,7,7
10009,1990,10,33,18,48,20,15,34,16,25,44
10010,1990,0,0,0,0,0,0,0,0,0,0
10011,1990,16,16,16,16,16,16,16,16,16,16
10012,1990,11,0,0,0,0,0,0,13,0,0
10013,1990,0,0,0,0,0,0,17,0,0,0
10014,1990,7,7,7,7,7,7,7,7,7,7
10015,1990,10,19,22,0,12,14,16,22,16,26
10016,1990,5,5,5,5,5,5,5,5,5,5
10017,1990,0,0,0,0,0,8,16,0,0,0
10018,1990,28,28,28,28,28,28,28,28,28,28
10019,1990,0,0,0,0,0,0,0,0,0,0
10020,1990,0,0,0,17,0,11,0,0,0,7
10021,1990,0,0,0,0,0,8,18,0,0,0
10022,1990,0,0,0,0,0,0,0,0,0,0
10023,1990,0,0,10,0,0,0,0,0,0,20
10024,1990,0,0,0,0,0,0,0,0,0,0
10025,1990,0,0,0,0,0,0,0,0,0,0
10026,1990,29,31,39,14,28,28,24,9,29,41
10027,1990,0,0,34,0,17,0,18,0,0,0
10028,1990,20,20,20,20,20,20,20,20,20,20
10029,1990,19,0,25,0,10,0,0,0,25,0
10030,1990,0,30,24,0,0,0,12,0,15,0
10031,1990,0,12,0,0,18,0,0,1,11,10
10032,1990,22,22,22,22,22,22,22,22,22,22
10033,1990,0,26,21,0,0,0,26,11,19,0
10034,1990,18,18,18,18,18,18,18,18,18,18
10035,1990,0,0,0,20,0,0,0,0,0,0
10036,1990,0,11,0,0,0,0,0,0,16,0
10037,1990,0,0,11,0,0,0,0,0,0,0
10038,1990,0,0,0,0,0,0,11,8,0,5
10039,1990,11,17,0,0,0,0,24,0,0,13
10040,1990,0,0,0,0,0,0,0,0,0,0
10041,1990,0,9,15,13,13,18,32,12,5,33
10042,1990,0,0,0,0,0,0,0,0,0,0
10043,1990,17,17,17,17,17,17,17,17,17,17
10044,1990,0,0,0,0,0,0,0,0,0,0
10045,1990,11,0,31,0,0,15,25,15,10,0
10046,1990,6,16,16,13,19,22,23,11,11,10
10047,1990,0,19,12,0,15,0,0,0,0,5
10048,1990,18,18,18,18,18,18,18,18,18,18
10049,1990,0,0,0,0,0,0,0,0,0,0
10050,1990,0,0,0,0,0,0,0,8,0,0
10051,1990,0,0,29,0,0,0,0,0,0,0
10052,1990,22,27,13,22,15,15,13,21,15,23
10053,1990,0,0,11,0,0,17,0,0,0,0
10054,1990,0,12,11,23,0,15,22,8,0,26
10055,1990,9,9,9,9,9,9,9,9,9,9
10056,1990,7,7,7,7,7,7,7,7,7,7
10057,1990,0,5,46,33,16,22,23,29,24,23
10058,1990,19,19,19,19,19,19,19,19,19,19
10059,1990,0,0,0,0,0,0,0,0,0,0
10060,1990,14,18,17,21,13,13,13,14,13,37
10061,1990,14,14,14,14,14,14,14,14,14,14
10062,1990,32,15,0,30,29,0,0,0,0,0
10063,1990,17,17,17,22,17,17,17,17,17,17
10064,1990,0,0,0,0,0,0,0,0,0,0
10065,1990,11,11,11,11,11,11,11,11,11,11
10066,1990,0,0,0,0,0,0,0,0,0,0
10067,1990,14,14,14,14,14,14,14,14,14,14
10068,1990,0,13,0,0,0,0,0,0,0,12
10069,1990,1,1,1,1,1,1,1,1,1,1
10070,1990,0,0,0,0,0,0,0,0,0,0
10071,1990,12,12,12,12,12,12,12,12,12,12
10072,1990,14,10,12,0,12,0,0,0,0,0
10073,1990,0,0,0,0,0,0,0,0,0,0
10074,1990,30,20,17,6,30,22,23,4,20,32
10075,1990,9,10,12,24,9,22,8,18,14,6
10076,1990,0,0,30,9,23,0,0,0,0,0
10077,1990,18,0,0,0,0,0,0,0,0,0
10078,1990,0,10,0,0,0,0,0,0,0,0
10079,1990,23,9,17,24,14,12,11,36,25,36
10080,1990,13,13,13,13,13,13,13,13,13,13
10081,1990,14,20,30,17,10,9,38,10,16,15
10082,1990,16,23,15,25,23,12,22,11,19,24
10083,1990,31,31,31,31,31,31,31,31,31,31
10084,1990,0,0,0,0,0,0,0,0,0,0
10085,1990,31,19,46,21,30,16,12,16,37,18
10086,1990,0,0,0,0,0,0,0,36,0,0
10087,1990,0,0,0,0,0,0,0,0,0,0
10088,1990,1,1,1,1,1,1,1,1,1,1
10089,1990,0,0,0,0,0,0,0,0,0,0
10090,1990,13,13,14,31,22,33,16,25,20,13
10091,1990,29,29,29,29,29,29,29,29,29,29
10092,1990,0,3,0,0,0,0,0,0,0,0
10093,1990,24,24,24,24,24,24,24,24,24,24
10094,1990,11,11,11,11,11,11,11,11,11,11
10095,1990,31,31,31,31,31,31,31,31,31,31
10096,1990,0,0,0,0,0,0,0,0,0,0
10097,1990,0,0,0,0,0,0,0,0,0,0
10098,1990,0,0,0,0,0,0,0,0,0,0
10099,1990,11,15,20,0,0,0,0,0,0,0
10100,1990,23,0,11,9,24,5,5,8,6,26
10101,1990,0,0,0,0,0,0,0,0,0,0
10102,1990,21,21,21,21,21,21,21,21,21,21
10103,1990,13,13,13,13,13,13,13,13,13,13
10104,1990,5,5,5,5,5,5,5,5,5,5
10105,1990,0,0,0,0,0,0,0,0,0,0
10106,1990,0,0,0,0,0,0,0,0,0,0
10107,1990,23,14,7,19,34,9,12,19,7,4
10108,1990,0,0,0,0,0,17,0,11,15,0
10109,1990,16,12,8,6,4,9,7,11,0,14
10110,1990,8,0,0,0,0,10,0,18,0,9
10111,1990,17,17,17,17,17,17,17,17,17,17
10112,1990,0,11,0,0,0,8,0,0,0,0
10113,1990,0,0,0,22,0,0,0,0,4,0
10114,1990,27,27,27,27,27,27,27,27,27,27
10115,1990,11,11,11,11,11,11,11,11,11,11
10116,1990,0,0,8,0,0,0,0,0,0,0
10117,1990,21,21,21,21,21,21,21,21,21,21
10118,1990,0,0,25,0,0,0,0,0,0,0
10119,1990,15,0,0,0,0,0,0,0,0,0
10120,1990,0,0,0,0,0,0,0,0,10,14
10121,1990,0,9,0,16,0,0,0,0,0,0
10122,1990,2,2,2,2,2,2,2,2,2,2
10123,1990,0,0,0,8,0,0,0,0,0,0
10124,1990,0,0,0,20,0,0,0,0,0,0
10125,1990,0,0,0,0,0,0,0,0,0,0
10126,1990,0,0,0,0,0,0,0,0,8,0
10127,1990,25,37,38,26,32,29,19,21,30,37
10128,1990,11,15,18,14,4,0,0,0,18,10
10129,1990,0,5,11,0,0,0,0,0,0,0
10130,1990,32,32,32,32,32,32,32,32,32,32
10131,1990,34,8,0,27,23,26,18,18,10,16
10132,1990,28,26,19,13,34,20,31,9,1,21
10133,1990,21,21,21,21,21,21,21,21,21,21
10134,1990,34,34,34,34,34,34,34,34,34,34
10135,1990,21,21,21,21,21,21,21,21,21,21
